"","hostelName","hostelLink","minPrice","location"
"134","Hisayo's Inn","https://www.hostelworld.com/hosteldetails.php/Hisayo-s-Inn/Tokyo/283587","CA$11979.64","             15.7km from city centre          "
"135","Shibamata FU-TEN Bed and Local","https://www.hostelworld.com/hosteldetails.php/Shibamata-FU-TEN-Bed-and-Local/Tokyo/276190","CA$35.94","             18.5km from city centre          "
"136","Tokyo House Inn","https://www.hostelworld.com/hosteldetails.php/Tokyo-House-Inn/Tokyo/272913","CA$45.52","             1.5km from city centre          "
"137","bnb+ Costeln Akiba(Female only)","https://www.hostelworld.com/hosteldetails.php/bnb-Costeln-Akiba-Female-only/Tokyo/282620","CA$23.96","             7.8km from city centre          "
"138","Oak Hotel Edo","https://www.hostelworld.com/hosteldetails.php/Oak-Hotel-Edo/Tokyo/272749","CA$26.36","             9.7km from city centre          "
"139","Japan Hostel Shinya Tokkyu","https://www.hostelworld.com/hosteldetails.php/Japan-Hostel-Shinya-Tokkyu/Tokyo/291182","CA$38.33","             13.9km from city centre          "
"140","Tokyo Hutte","https://www.hostelworld.com/hosteldetails.php/Tokyo-Hutte/Tokyo/266636","CA$35.94","             11.3km from city centre          "
"141","Asakusa Central Hotel","https://www.hostelworld.com/hosteldetails.php/Asakusa-Central-Hotel/Tokyo/12220","CA$77.87","             9.6km from city centre          "
"142","Japanize Guest House","https://www.hostelworld.com/hosteldetails.php/Japanize-Guest-House/Tokyo/273068","CA$22.76","             8.1km from city centre          "
"143","Hotel Boston Club","https://www.hostelworld.com/hosteldetails.php/Hotel-Boston-Club/Tokyo/96427","CA$59.30","             9.3km from city centre          "
"144","Hoshi Kai Kan","https://www.hostelworld.com/hosteldetails.php/Hoshi-Kai-Kan/Tokyo/54783","CA$37.14","             8.3km from city centre          "
"145","Tamanoi Hostel 201/301","https://www.hostelworld.com/hosteldetails.php/Tamanoi-Hostel-201-301/Tokyo/281335","CA$167.72","             12.4km from city centre          "
"146","bnb+ Ninja Dojo Ueno","https://www.hostelworld.com/hosteldetails.php/bnb-Ninja-Dojo-Ueno/Tokyo/282676","CA$11979.64","             8km from city centre          "
"147","Grids Kyoto Shijo Kawaramachi Hotel & Hostel","https://www.hostelworld.com/hosteldetails.php/Grids-Kyoto-Shijo-Kawaramachi-Hotel-and-Hostel/Kyoto/286327","CA$27.16","             0.8km from city centre          "
"148","Friends Kyo","https://www.hostelworld.com/hosteldetails.php/Friends-Kyo/Kyoto/278444","CA$35.94","             1.2km from city centre          "
"149","Kyoto Morris Hostel","https://www.hostelworld.com/hosteldetails.php/Kyoto-Morris-Hostel/Kyoto/276834","CA$33.54","             0.5km from city centre          "
"150","Len Kyoto","https://www.hostelworld.com/hosteldetails.php/Len-Kyoto/Kyoto/93521","CA$29.95","             1.4km from city centre          "
"151","Backpackers Hostel K's House Kyoto","https://www.hostelworld.com/hosteldetails.php/Backpackers-Hostel-K-s-House-Kyoto/Kyoto/5536","CA$21.56","             2.4km from city centre          "
"152","Mosaic Hostel Kyoto","https://www.hostelworld.com/hosteldetails.php/Mosaic-Hostel-Kyoto/Kyoto/270044","CA$29.95","             3.7km from city centre          "
"153","The Millennials Kyoto","https://www.hostelworld.com/hosteldetails.php/The-Millennials-Kyoto/Kyoto/280003","CA$53.91","             0.5km from city centre          "
"154","Ryokan Hostel Gion","https://www.hostelworld.com/hosteldetails.php/Ryokan-Hostel-Gion/Kyoto/292201","CA$35.94","             0.8km from city centre          "
"155","Hostel Ebi","https://www.hostelworld.com/hosteldetails.php/Hostel-Ebi/Kyoto/267244","CA$29.95","             1km from city centre          "
"156","Bird Hostel","https://www.hostelworld.com/hosteldetails.php/Bird-Hostel/Kyoto/272216","CA$32.35","             1.1km from city centre          "
"157","Piece Hostel Sanjo","https://www.hostelworld.com/hosteldetails.php/Piece-Hostel-Sanjo/Kyoto/94563","CA$34.74","             0.5km from city centre          "
"158","Downtown Inn Kyoto","https://www.hostelworld.com/hosteldetails.php/Downtown-Inn-Kyoto/Kyoto/285591","CA$12.10","             1.4km from city centre          "
"159","Imano Kyoto Kiyomizu Hostel","https://www.hostelworld.com/hosteldetails.php/Imano-Kyoto-Kiyomizu-Hostel/Kyoto/280270","CA$25.55","             1.9km from city centre          "
"160","Centurion Cabin & Spa Kyoto","https://www.hostelworld.com/hosteldetails.php/Centurion-Cabin-and-Spa-Kyoto/Kyoto/267524","CA$29.95","             1.1km from city centre          "
"161","Khaosan Kyoto Guest House","https://www.hostelworld.com/hosteldetails.php/Khaosan-Kyoto-Guest-House/Kyoto/45698","CA$23.96","             1.1km from city centre          "
"162","R.Star Hostel Kyoto","https://www.hostelworld.com/hosteldetails.php/R-Star-Hostel-Kyoto/Kyoto/283891","CA$28.51","             1.8km from city centre          "
"163","J-Hoppers Kyoto Guest House","https://www.hostelworld.com/hosteldetails.php/J-Hoppers-Kyoto-Guest-House/Kyoto/2802","CA$22.76","             3.6km from city centre          "
"164","Comics & CapsuleHotel COMICAP kyotoshinkyogoku","https://www.hostelworld.com/hosteldetails.php/Comics-and-CapsuleHotel-COMICAP-kyotoshinkyogoku/Kyoto/275532","CA$23.96","             0.7km from city centre          "
"165","Santiago Guesthouse Kyoto","https://www.hostelworld.com/hosteldetails.php/Santiago-Guesthouse-Kyoto/Kyoto/73577","CA$15.57","             2km from city centre          "
"166","Guest House Bola-Bola","https://www.hostelworld.com/hosteldetails.php/Guest-House-Bola-Bola/Kyoto/16159","CA$32.70","             6.1km from city centre          "
"167","Jiyujin","https://www.hostelworld.com/hosteldetails.php/Jiyujin/Kyoto/46617","CA$31.45","             2km from city centre          "
"168","Piece Hostel Kyoto","https://www.hostelworld.com/hosteldetails.php/Piece-Hostel-Kyoto/Kyoto/71823","CA$32.35","             3.2km from city centre          "
"169","Gion Ryokan Q-beh","https://www.hostelworld.com/hosteldetails.php/Gion-Ryokan-Q-beh/Kyoto/85973","CA$33.54","             1.5km from city centre          "
"170","Gojo Guest House","https://www.hostelworld.com/hosteldetails.php/Gojo-Guest-House/Kyoto/5317","CA$23.96","             1.9km from city centre          "
"171","Capsule Resort Kyoto Square","https://www.hostelworld.com/hosteldetails.php/Capsule-Resort-Kyoto-Square/Kyoto/273342","CA$38.33","             1.3km from city centre          "
"172","Kyoto Hostel ZEN","https://www.hostelworld.com/hosteldetails.php/Kyoto-Hostel-ZEN/Kyoto/283255","CA$35.94","             0.7km from city centre          "
"173","Guest House Kyoto Inn","https://www.hostelworld.com/hosteldetails.php/Guest-House-Kyoto-Inn/Kyoto/272748","CA$17.97","             3.3km from city centre          "
"174","Guest House Shiori Ann","https://www.hostelworld.com/hosteldetails.php/Guest-House-Shiori-Ann/Kyoto/82268","CA$17.61","             2km from city centre          "
"175","WeBase Kyoto","https://www.hostelworld.com/hosteldetails.php/WeBase-Kyoto/Kyoto/294513","CA$35.94","             1.6km from city centre          "
"176","The Lower East Nine Hostel","https://www.hostelworld.com/hosteldetails.php/The-Lower-East-Nine-Hostel/Kyoto/101564","CA$35.46","             3.7km from city centre          "
"177","Guest House Renjishi Kabuki","https://www.hostelworld.com/hosteldetails.php/Guest-House-Renjishi-Kabuki/Kyoto/41189","CA$17.97","             2.5km from city centre          "
"178","Hostel Niniroom","https://www.hostelworld.com/hosteldetails.php/Hostel-Niniroom/Kyoto/287080","CA$28.03","             1km from city centre          "
"179","Hostel Kyoto Kizuna","https://www.hostelworld.com/hosteldetails.php/Hostel-Kyoto-Kizuna/Kyoto/277793","CA$21.56","             2.1km from city centre          "
"180","Tanaka Gokurakudo Guest House","https://www.hostelworld.com/hosteldetails.php/Tanaka-Gokurakudo-Guest-House/Kyoto/280879","CA$29.95","             2.7km from city centre          "
"181","Calendar Hotel","https://www.hostelworld.com/hosteldetails.php/Calendar-Hotel/Kyoto/278973","CA$11.74","             8.8km from city centre          "
"182","Guest House Ga-Jyun","https://www.hostelworld.com/hosteldetails.php/Guest-House-Ga-Jyun/Kyoto/83262","CA$23.96","             1.4km from city centre          "
"183","Kyoto Hana Hostel","https://www.hostelworld.com/hosteldetails.php/Kyoto-Hana-Hostel/Kyoto/41311","CA$21.56","             2.5km from city centre          "
"184","Chaganjutei","https://www.hostelworld.com/hosteldetails.php/Chaganjutei/Kyoto/272473","CA$39.53","             14.1km from city centre          "
"185","GATE80 Kyoto Nijo","https://www.hostelworld.com/hosteldetails.php/GATE80-Kyoto-Nijo/Kyoto/292943","CA$20.13","             2.4km from city centre          "
"186","Guest House Hachi","https://www.hostelworld.com/hosteldetails.php/Guest-House-Hachi/Kyoto/279325","CA$35.64","             3.2km from city centre          "
"187","Fairfield House","https://www.hostelworld.com/hosteldetails.php/Fairfield-House/Kyoto/102831","CA$35.94","             1.9km from city centre          "
"188","RokuRoku","https://www.hostelworld.com/hosteldetails.php/RokuRoku/Kyoto/26033","CA$29.95","             2.4km from city centre          "
"189","Tabetoma Nijo Castle","https://www.hostelworld.com/hosteldetails.php/Tabetoma-Nijo-Castle/Kyoto/266320","CA$17.97","             1.3km from city centre          "
"190","Nagomi-Ryokan Yuu","https://www.hostelworld.com/hosteldetails.php/Nagomi-Ryokan-Yuu/Kyoto/34703","CA$36.54","             2.2km from city centre          "
"191","Stay Inn KOTO","https://www.hostelworld.com/hosteldetails.php/Stay-Inn-KOTO/Kyoto/289683","CA$16.17","             4.7km from city centre          "
"192","Grand-Rem Kyoto","https://www.hostelworld.com/hosteldetails.php/Grand-Rem-Kyoto/Kyoto/291158","CA$33.54","             0.6km from city centre          "
"193","Hostel Mundo Chiquito","https://www.hostelworld.com/hosteldetails.php/Hostel-Mundo-Chiquito/Kyoto/69888","CA$16.77","             1.4km from city centre          "
"194","Peace House Sakura","https://www.hostelworld.com/hosteldetails.php/Peace-House-Sakura/Kyoto/95000","CA$15.57","             1.8km from city centre          "
"195","Jam Hostel Kyoto Gion","https://www.hostelworld.com/hosteldetails.php/Jam-Hostel-Kyoto-Gion/Kyoto/59626","CA$17.85","             0.9km from city centre          "
"196","The Limelight Kyoto","https://www.hostelworld.com/hosteldetails.php/The-Limelight-Kyoto/Kyoto/291445","CA$21.56","             4.6km from city centre          "
"197","Hostel HARUYA Kyoto","https://www.hostelworld.com/hosteldetails.php/Hostel-HARUYA-Kyoto/Kyoto/56247","CA$17.73","             1km from city centre          "
"198","Hostel Mundo","https://www.hostelworld.com/hosteldetails.php/Hostel-Mundo/Kyoto/44507","CA$16.77","             2.1km from city centre          "
"199","Guesthouse Soi","https://www.hostelworld.com/hosteldetails.php/Guesthouse-Soi/Kyoto/88132","CA$20.37","             2.4km from city centre          "
"200","OKI's Inn","https://www.hostelworld.com/hosteldetails.php/OKI-s-Inn/Kyoto/67365","CA$29.95","             1.1km from city centre          "
"201","THE NEXT DOOR lower east nine hostel","https://www.hostelworld.com/hosteldetails.php/THE-NEXT-DOOR-lower-east-nine-hostel/Kyoto/274186","CA$35.34","             4km from city centre          "
"202","Kyoto Guesthouse Roujiya","https://www.hostelworld.com/hosteldetails.php/Kyoto-Guesthouse-Roujiya/Kyoto/43979","CA$41.93","             2.1km from city centre          "
"203","Book and Bed Tokyo - Kyoto","https://www.hostelworld.com/hosteldetails.php/Book-and-Bed-Tokyo-Kyoto/Kyoto/281168","CA$58.70","             0.9km from city centre          "
"204","Hostel Ginkakuji","https://www.hostelworld.com/hosteldetails.php/Hostel-Ginkakuji/Kyoto/284652","CA$12.46","             2.7km from city centre          "
"205","Tomato Kyoto Station","https://www.hostelworld.com/hosteldetails.php/Tomato-Kyoto-Station/Kyoto/30310","CA$17.97","             3.1km from city centre          "
"206","Bakpak Kyoto Hostel","https://www.hostelworld.com/hosteldetails.php/Bakpak-Kyoto-Hostel/Kyoto/291220","CA$29.95","             0km from city centre          "
"207","Guest Inn Kyoto Garaku","https://www.hostelworld.com/hosteldetails.php/Guest-Inn-Kyoto-Garaku/Kyoto/292035","CA$35.94","             2.7km from city centre          "
"208","Guesthouse Oto","https://www.hostelworld.com/hosteldetails.php/Guesthouse-Oto/Kyoto/293577","CA$32.35","             3.7km from city centre          "
"209","FUGASTAY Shijo Omiya","https://www.hostelworld.com/hosteldetails.php/FUGASTAY-Shijo-Omiya/Kyoto/294324","CA$31.94","             1.8km from city centre          "
"210","Matcha Backpackers","https://www.hostelworld.com/hosteldetails.php/Matcha-Backpackers/Kyoto/294217","CA$29.95","             2.5km from city centre          "
"211","The Share Hotels Tsugu Kyoto Sanjo","https://www.hostelworld.com/hosteldetails.php/The-Share-Hotels-Tsugu-Kyoto-Sanjo/Kyoto/294805","CA$44.92","             0.5km from city centre          "
"212","Small World Guesthouse in Kyoto","https://www.hostelworld.com/hosteldetails.php/Small-World-Guesthouse-in-Kyoto/Kyoto/54099","CA$19.17","             3.9km from city centre          "
"213","Guest House YULULU","https://www.hostelworld.com/hosteldetails.php/Guest-House-YULULU/Kyoto/79698","CA$17.97","             0.5km from city centre          "
"214","HARUYA Umekouji","https://www.hostelworld.com/hosteldetails.php/HARUYA-Umekouji/Kyoto/278295","CA$21.56","             3.1km from city centre          "
"215","Kyoto Hostel Ryokan","https://www.hostelworld.com/hosteldetails.php/Kyoto-Hostel-Ryokan/Kyoto/96223","CA$23.96","             4.2km from city centre          "
"216","Kyo To","https://www.hostelworld.com/hosteldetails.php/Kyo-To/Kyoto/280282","CA$21.56","             1.9km from city centre          "
"217","Kyoto Suiden Ann Annex Dormitory-Sui","https://www.hostelworld.com/hosteldetails.php/Kyoto-Suiden-Ann-Annex-Dormitory-Sui/Kyoto/290630","CA$31.15","             3.3km from city centre          "
"218","O-yado Sato","https://www.hostelworld.com/hosteldetails.php/O-yado-Sato/Kyoto/35205","CA$46.12","             2.3km from city centre          "
"219","Okara Guesthouse","https://www.hostelworld.com/hosteldetails.php/Okara-Guesthouse/Kyoto/273072","CA$22.64","             2.4km from city centre          "
"220","Gojo Guesthouse - Annex","https://www.hostelworld.com/hosteldetails.php/Gojo-Guesthouse-Annex/Kyoto/21128","CA$29.35","             1.7km from city centre          "
"221","Ikoi-no-Ie Kyoto","https://www.hostelworld.com/hosteldetails.php/Ikoi-no-Ie-Kyoto/Kyoto/22656","CA$31.75","             2.2km from city centre          "
"222","Talbot","https://www.hostelworld.com/hosteldetails.php/Talbot/Kyoto/279095","CA$29.95","             29.5km from city centre          "
"223","Guest House Yahata","https://www.hostelworld.com/hosteldetails.php/Guest-House-Yahata/Kyoto/23633","CA$29.95","             2km from city centre          "
"224","Grateful","https://www.hostelworld.com/hosteldetails.php/Grateful/Kyoto/275927","CA$19.17","             0km from city centre          "
"225","Traditonal Kyoto Home Ichiyoraifuku","https://www.hostelworld.com/hosteldetails.php/Traditonal-Kyoto-Home-Ichiyoraifuku/Kyoto/280841","CA$55.11","             1.3km from city centre          "
"226","Kyoto UTANO Youth Hostel","https://www.hostelworld.com/hosteldetails.php/Kyoto-UTANO-Youth-Hostel/Kyoto/30472","CA$40.61","             6.4km from city centre          "
"227","Kyoto Tsukiusagi","https://www.hostelworld.com/hosteldetails.php/Kyoto-Tsukiusagi/Kyoto/284531","CA$35.94","             8.7km from city centre          "
"228","Mosaic Machiya KSK","https://www.hostelworld.com/hosteldetails.php/Mosaic-Machiya-KSK/Kyoto/277116","CA$47.92","             3.5km from city centre          "
"229","Satoyama Guesthouse Couture","https://www.hostelworld.com/hosteldetails.php/Satoyama-Guesthouse-Couture/Kyoto/102712","CA$35.94","             54km from city centre          "
"230","FUJITAYA Kyoto","https://www.hostelworld.com/hosteldetails.php/FUJITAYA-Kyoto/Kyoto/264666","CA$41.93","             2.6km from city centre          "
"231","Kyoto classical house -Murasakian -","https://www.hostelworld.com/hosteldetails.php/Kyoto-classical-house-Murasakian-/Kyoto/289172","CA$59.90","             4.7km from city centre          "
"232","Colours","https://www.hostelworld.com/hosteldetails.php/Colours/Kyoto/268233","CA$19.17","             1.8km from city centre          "
"233","Seibido Inn","https://www.hostelworld.com/hosteldetails.php/Seibido-Inn/Kyoto/269998","CA$22.76","             0.4km from city centre          "
"234","Guest House Yamato","https://www.hostelworld.com/hosteldetails.php/Guest-House-Yamato/Kyoto/51803","CA$68.28","             2.2km from city centre          "
"235","Kyoto Be Open Hostel","https://www.hostelworld.com/hosteldetails.php/Kyoto-Be-Open-Hostel/Kyoto/281256","CA$11979.64","             3.8km from city centre          "
"236","Tomori Guest House","https://www.hostelworld.com/hosteldetails.php/Tomori-Guest-House/Kyoto/289747","CA$23.96","             2.2km from city centre          "
"237","Guest House Hitsuji-An","https://www.hostelworld.com/hosteldetails.php/Guest-House-Hitsuji-An/Kyoto/81381","CA$26.36","             1.3km from city centre          "
"238","Guesthouse Origami","https://www.hostelworld.com/hosteldetails.php/Guesthouse-Origami/Kyoto/93040","CA$17.97","             1.7km from city centre          "
"239","Guesthouse Shitamachi-Kujo","https://www.hostelworld.com/hosteldetails.php/Guesthouse-Shitamachi-Kujo/Kyoto/82745","CA$22.76","             3.9km from city centre          "
"240","You En Me House","https://www.hostelworld.com/hosteldetails.php/You-En-Me-House/Kyoto/77020","CA$33.54","             2.4km from city centre          "
"241","Traditonal Kyoto Home Bifuku Roujiya","https://www.hostelworld.com/hosteldetails.php/Traditonal-Kyoto-Home-Bifuku-Roujiya/Kyoto/280843","CA$47.92","             2.1km from city centre          "
"242","Hotel Rejoice Stay Kyoto Karasuma Oike","https://www.hostelworld.com/hosteldetails.php/Hotel-Rejoice-Stay-Kyoto-Karasuma-Oike/Kyoto/284529","CA$71.88","             0km from city centre          "
"243","Villa Kyoto Saiin","https://www.hostelworld.com/hosteldetails.php/Villa-Kyoto-Saiin/Kyoto/279983","CA$47.92","             3.9km from city centre          "
"244","Guesthouse Ryoan-Ori","https://www.hostelworld.com/hosteldetails.php/Guesthouse-Ryoan-Ori/Kyoto/290682","CA$33.54","             3.3km from city centre          "
"245","Uoiwa Ryokan","https://www.hostelworld.com/hosteldetails.php/Uoiwa-Ryokan/Kyoto/33101","CA$77.63","             2.7km from city centre          "
"246","Japaning Hotel Fushimiinari","https://www.hostelworld.com/hosteldetails.php/Japaning-Hotel-Fushimiinari/Kyoto/281334","CA$11979.64","             4.8km from city centre          "
"247","GuestHouse Kyoto Abiya","https://www.hostelworld.com/hosteldetails.php/GuestHouse-Kyoto-Abiya/Kyoto/271831","CA$32.35","             0.6km from city centre          "
"248","Guest House Aoi Nakamoto","https://www.hostelworld.com/hosteldetails.php/Guest-House-Aoi-Nakamoto/Kyoto/279382","CA$48.52","             2.5km from city centre          "
"249","Hostel Ayame","https://www.hostelworld.com/hosteldetails.php/Hostel-Ayame/Kyoto/274868","CA$29.95","             3.6km from city centre          "
"250","Ark Hostel","https://www.hostelworld.com/hosteldetails.php/Ark-Hostel/Osaka/99470","CA$32.35","             1.9km from city centre          "
"251","Hostel Mitsuwaya Osaka","https://www.hostelworld.com/hosteldetails.php/Hostel-Mitsuwaya-Osaka/Osaka/265633","CA$38.33","             4.1km from city centre          "
"252","Hostel Bushi","https://www.hostelworld.com/hosteldetails.php/Hostel-Bushi/Osaka/280499","CA$23.48","             3.4km from city centre          "
"253","Backstage Osaka Hostel & Bar","https://www.hostelworld.com/hosteldetails.php/Backstage-Osaka-Hostel-and-Bar/Osaka/277734","CA$26.36","             4.5km from city centre          "
"254","Guesthouse U-En","https://www.hostelworld.com/hosteldetails.php/Guesthouse-U-En/Osaka/82892","CA$27.55","             1.9km from city centre          "
"255","""Bike & Bed"" CharinCo Hostel","https://www.hostelworld.com/hosteldetails.php/Bike-and-Bed-CharinCo-Hostel/Osaka/277946","CA$39.53","             2.9km from city centre          "
"256","Tani9 Backpackers Osaka","https://www.hostelworld.com/hosteldetails.php/Tani9-Backpackers-Osaka/Osaka/78777","CA$23.96","             4.5km from city centre          "
"257","Osaka Fuku Hostel Namba","https://www.hostelworld.com/hosteldetails.php/Osaka-Fuku-Hostel-Namba/Osaka/102223","CA$35.46","             4.5km from city centre          "
"258","The Pax Hostel/Records/More","https://www.hostelworld.com/hosteldetails.php/The-Pax-Hostel-Records-More/Osaka/270406","CA$27.55","             6km from city centre          "
"259","Music & Coffee Hostel LnK (LODGING & KIN)","https://www.hostelworld.com/hosteldetails.php/Music-and-Coffee-Hostel-LnK-LODGING-and-KIN/Osaka/277244","CA$33.54","             5.6km from city centre          "
"260","Osaka Fuku Hostel Nagomi","https://www.hostelworld.com/hosteldetails.php/Osaka-Fuku-Hostel-Nagomi/Osaka/267285","CA$35.46","             4.4km from city centre          "
"261","Honjin Hostel","https://www.hostelworld.com/hosteldetails.php/Honjin-Hostel/Osaka/293740","CA$21.56","             4.6km from city centre          "
"262","Backpackers Hotel Toyo Osaka","https://www.hostelworld.com/hosteldetails.php/Backpackers-Hotel-Toyo-Osaka/Osaka/14926","CA$17.97","             6.5km from city centre          "
"263","Funtoco Backpackers Namba","https://www.hostelworld.com/hosteldetails.php/Funtoco-Backpackers-Namba/Osaka/272911","CA$27.55","             5.5km from city centre          "
"264","Picnic Hostel Osaka","https://www.hostelworld.com/hosteldetails.php/Picnic-Hostel-Osaka/Osaka/273231","CA$23.84","             4.4km from city centre          "
"265","Sakura La An","https://www.hostelworld.com/hosteldetails.php/Sakura-La-An/Osaka/267485","CA$34.74","             1.2km from city centre          "
"266","J-Hoppers Osaka Guesthouse","https://www.hostelworld.com/hosteldetails.php/J-Hoppers-Osaka-Guesthouse/Osaka/24780","CA$27.55","             1.9km from city centre          "
"267","Osaka Guesthouse Hive","https://www.hostelworld.com/hosteldetails.php/Osaka-Guesthouse-Hive/Osaka/264049","CA$27.55","             1.3km from city centre          "
"268","Khaosan World Namba","https://www.hostelworld.com/hosteldetails.php/Khaosan-World-Namba/Osaka/265731","CA$25.16","             4.5km from city centre          "
"269","Osaka Hana Hostel","https://www.hostelworld.com/hosteldetails.php/Osaka-Hana-Hostel/Osaka/64662","CA$30.55","             3.7km from city centre          "
